@relation '272644L1_2-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F1-S2-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F3-S4-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F2-S3-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsp?acona_sp?acona_cz:dobry,windykacja_windykacja_sp_odmowa:z?y-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsp?acona_sp?acona_cz:dobry,odmowa_windykacja_windykacja_sp:z?y-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsplacona_splacona_cz:dobry,odmowa_windykacja_windykacja_sp:z?y-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R2-precision6'

@attribute 'kwota kredytu' numeric
@attribute wiek {'\'(-inf-30.6]\'','\'(30.6-43.2]\'','\'(43.2-55.8]\'','\'(55.8-68.4]\'','\'(68.4-inf)\''}
@attribute płeć {kobieta,mężczyzna}
@attribute 'rodzaj źródła dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres dochód (months)' numeric
@attribute 'okres będzie dochód (months)' numeric
@attribute '﻿status pozyczki' {dobry,z?y}

@data
600,'\'(-inf-30.6]\'',kobieta,11,2100,1,25,48,dobry
200,'\'(43.2-55.8]\'',kobieta,11,1400,6,119,48,dobry
500,'\'(43.2-55.8]\'',mężczyzna,16,2150,0,83,48,dobry
618.26,'\'(55.8-68.4]\'',mężczyzna,13,3040,2,203,48,dobry
500,'\'(55.8-68.4]\'',kobieta,13,815,1,146,48,z?y
300,'\'(68.4-inf)\'',kobieta,13,1300,3,195,48,dobry
300,'\'(43.2-55.8]\'',kobieta,11,2800,1,11,48,dobry
300,'\'(43.2-55.8]\'',kobieta,11,900,6,95,48,dobry
278.98,'\'(30.6-43.2]\'',kobieta,98,1200,6,48,48,dobry
400,'\'(55.8-68.4]\'',kobieta,13,1107,0,17,48,dobry
200,'\'(55.8-68.4]\'',mężczyzna,13,1162,6,223,48,dobry
500,'\'(55.8-68.4]\'',kobieta,13,1900,0,90,48,dobry
300,'\'(68.4-inf)\'',mężczyzna,13,1420,0,55,48,dobry
272.78,'\'(55.8-68.4]\'',kobieta,13,1658,6,31,48,dobry
700,'\'(55.8-68.4]\'',kobieta,13,2066,6,131,48,dobry
300,'\'(43.2-55.8]\'',kobieta,16,1500,1,4,48,dobry
512,'\'(55.8-68.4]\'',mężczyzna,13,1500,6,25,48,dobry
200,'\'(55.8-68.4]\'',kobieta,13,1635,6,122,48,dobry
800,'\'(43.2-55.8]\'',kobieta,13,3440,6,53,48,dobry
1000,'\'(30.6-43.2]\'',kobieta,98,6000,2,19,48,dobry
774.28,'\'(30.6-43.2]\'',kobieta,11,2200,2,39,48,dobry
300,'\'(43.2-55.8]\'',kobieta,11,2800,6,62,48,dobry
974.28,'\'(68.4-inf)\'',kobieta,13,2100,5,57,48,dobry
400,'\'(55.8-68.4]\'',kobieta,16,1411,3,68,48,dobry
399.66,'\'(30.6-43.2]\'',kobieta,11,1239.05,3,206,48,dobry
996,'\'(43.2-55.8]\'',mężczyzna,11,2500,2,206,48,dobry
438.12,'\'(30.6-43.2]\'',mężczyzna,11,1850,1,57,48,dobry
500,'\'(-inf-30.6]\'',mężczyzna,99,1225,0,4,10,z?y
300,'\'(55.8-68.4]\'',mężczyzna,13,1573,1,91,48,z?y
300,'\'(43.2-55.8]\'',kobieta,16,2300,0,65,48,dobry
1000,'\'(55.8-68.4]\'',kobieta,11,2670,5,90,48,z?y
600,'\'(43.2-55.8]\'',kobieta,11,3200,6,56,48,dobry
450,'\'(55.8-68.4]\'',kobieta,13,1650,0,117,48,dobry
282.57,'\'(68.4-inf)\'',mężczyzna,13,1772.53,3,282,48,dobry
300,'\'(68.4-inf)\'',kobieta,13,1000,3,66,48,dobry
200,'\'(30.6-43.2]\'',mężczyzna,11,2284.23,1,302,48,dobry
1000,'\'(55.8-68.4]\'',kobieta,13,1530,0,27,48,dobry
975.25,'\'(55.8-68.4]\'',mężczyzna,13,2474,1,17,48,dobry
299.72,'\'(55.8-68.4]\'',kobieta,13,714,7,224,48,dobry
400,'\'(55.8-68.4]\'',kobieta,11,1500,5,87,48,dobry
200,'\'(43.2-55.8]\'',kobieta,11,1344.9,5,48,48,dobry
500,'\'(43.2-55.8]\'',kobieta,11,2500,2,235,48,dobry
200,'\'(30.6-43.2]\'',kobieta,12,1865,3,22,0,dobry
300,'\'(68.4-inf)\'',mężczyzna,13,562,2,83,48,dobry
324.56,'\'(55.8-68.4]\'',kobieta,13,1170,5,80,48,dobry
350,'\'(55.8-68.4]\'',mężczyzna,16,837,5,233,48,dobry
460,'\'(55.8-68.4]\'',kobieta,13,1013.74,6,115,48,dobry
800,'\'(55.8-68.4]\'',kobieta,13,1208,0,27,48,z?y
500,'\'(55.8-68.4]\'',kobieta,13,1212,6,56,48,dobry
200,'\'(30.6-43.2]\'',mężczyzna,98,2000,0,16,48,dobry
200,'\'(55.8-68.4]\'',kobieta,16,684.64,0,343,48,dobry
300,'\'(30.6-43.2]\'',kobieta,11,1738.57,1,59,48,dobry
600,'\'(68.4-inf)\'',mężczyzna,13,1519,0,256,48,z?y
292.28,'\'(55.8-68.4]\'',kobieta,13,936,4,33,48,z?y
399.72,'\'(43.2-55.8]\'',kobieta,11,2368.57,0,412,48,dobry
200,'\'(55.8-68.4]\'',kobieta,13,670,2,68,48,z?y
1000,'\'(55.8-68.4]\'',kobieta,13,930,0,133,48,dobry
600,'\'(55.8-68.4]\'',kobieta,16,892,0,203,48,dobry
700,'\'(55.8-68.4]\'',kobieta,16,980,0,133,48,dobry
300,'\'(55.8-68.4]\'',kobieta,13,1027,2,194,48,dobry
600,'\'(68.4-inf)\'',kobieta,13,640,0,141,48,dobry
400,'\'(55.8-68.4]\'',kobieta,16,2084.79,0,143,48,dobry
315.12,'\'(68.4-inf)\'',mężczyzna,13,960,6,142,48,dobry
667.77,'\'(55.8-68.4]\'',kobieta,13,930,3,96,48,dobry
299.28,'\'(55.8-68.4]\'',kobieta,16,1389,1,93,48,dobry
400,'\'(55.8-68.4]\'',kobieta,13,840,4,115,48,dobry
265.58,'\'(55.8-68.4]\'',kobieta,13,1189,6,72,48,dobry
200,'\'(55.8-68.4]\'',kobieta,13,720.19,4,95,48,dobry
200,'\'(55.8-68.4]\'',kobieta,13,2120,0,121,48,z?y
400,'\'(55.8-68.4]\'',kobieta,13,917,0,78,48,dobry
500,'\'(43.2-55.8]\'',mężczyzna,11,1800,0,143,48,z?y
500,'\'(55.8-68.4]\'',kobieta,13,3251,0,140,48,dobry
300,'\'(30.6-43.2]\'',kobieta,12,1896,0,15,1,dobry
900,'\'(55.8-68.4]\'',kobieta,17,684,6,192,17,dobry
575.64,'\'(43.2-55.8]\'',mężczyzna,11,3200,6,191,48,dobry
400,'\'(55.8-68.4]\'',mężczyzna,11,2000,1,72,48,dobry
200,'\'(55.8-68.4]\'',kobieta,13,975,6,29,48,dobry
200,'\'(43.2-55.8]\'',mężczyzna,11,1460.17,3,63,48,dobry
400,'\'(68.4-inf)\'',kobieta,13,729.03,7,259,48,dobry
500,'\'(43.2-55.8]\'',mężczyzna,11,1320,6,344,48,dobry
235.97,'\'(55.8-68.4]\'',mężczyzna,12,1100,6,24,12,dobry
200,'\'(55.8-68.4]\'',kobieta,13,997,6,81,48,dobry
400,'\'(30.6-43.2]\'',mężczyzna,11,1800,0,107,48,dobry
282.28,'\'(43.2-55.8]\'',mężczyzna,11,1600,0,344,48,dobry
300,'\'(30.6-43.2]\'',kobieta,12,1027,6,11,48,dobry
500,'\'(43.2-55.8]\'',mężczyzna,12,600,7,11,16,dobry
200,'\'(30.6-43.2]\'',kobieta,12,599.03,5,21,0,dobry
289.72,'\'(43.2-55.8]\'',kobieta,16,1045.6,7,14,48,dobry
400,'\'(55.8-68.4]\'',kobieta,13,1137.19,6,98,48,dobry
430,'\'(30.6-43.2]\'',mężczyzna,11,2470,3,68,48,dobry
300,'\'(55.8-68.4]\'',mężczyzna,13,2110,0,103,48,dobry
300,'\'(43.2-55.8]\'',kobieta,17,864.6,0,4,3,dobry
400,'\'(43.2-55.8]\'',kobieta,13,1213,1,52,48,dobry
500,'\'(68.4-inf)\'',kobieta,13,1253,0,240,48,z?y
200,'\'(55.8-68.4]\'',kobieta,11,983.97,0,80,48,z?y
550,'\'(43.2-55.8]\'',kobieta,12,1675,6,11,0,dobry
500,'\'(68.4-inf)\'',mężczyzna,13,2609,0,193,48,dobry
400,'\'(55.8-68.4]\'',kobieta,13,1425,0,81,48,dobry
465.37,'\'(30.6-43.2]\'',kobieta,98,4000,6,21,48,dobry
530,'\'(30.6-43.2]\'',mężczyzna,11,2050,1,120,48,dobry
300,'\'(30.6-43.2]\'',mężczyzna,11,1800,6,167,48,dobry
400,'\'(43.2-55.8]\'',kobieta,12,1000,0,47,22,dobry
292.28,'\'(55.8-68.4]\'',kobieta,13,1244.77,0,41,48,z?y
600,'\'(43.2-55.8]\'',kobieta,12,1350,0,24,0,dobry
200,'\'(30.6-43.2]\'',mężczyzna,11,2000,0,7,48,dobry
1000,'\'(43.2-55.8]\'',kobieta,11,5800,6,56,48,dobry
500,'\'(43.2-55.8]\'',kobieta,11,1414,0,9,48,z?y
248.57,'\'(55.8-68.4]\'',mężczyzna,13,1559,1,73,48,dobry
600,'\'(68.4-inf)\'',kobieta,13,2534,0,129,48,dobry
200,'\'(-inf-30.6]\'',kobieta,16,387,0,11,48,z?y
200,'\'(68.4-inf)\'',kobieta,13,730,5,563,48,dobry
500,'\'(43.2-55.8]\'',mężczyzna,11,2011,0,213,48,dobry
693.7,'\'(30.6-43.2]\'',kobieta,11,1900,2,210,48,dobry
400,'\'(30.6-43.2]\'',kobieta,11,980.11,3,47,48,dobry
300,'\'(43.2-55.8]\'',mężczyzna,12,1210,0,9,0,z?y
282.68,'\'(43.2-55.8]\'',kobieta,12,1050,5,36,0,dobry
200,'\'(43.2-55.8]\'',kobieta,99,598,0,5,1,dobry
300,'\'(30.6-43.2]\'',kobieta,11,1400,0,27,48,dobry
470,'\'(68.4-inf)\'',kobieta,13,1800,1,119,48,z?y
400,'\'(55.8-68.4]\'',mężczyzna,12,1650,0,3,23,z?y
300,'\'(43.2-55.8]\'',mężczyzna,13,3900,7,32,48,dobry
500,'\'(43.2-55.8]\'',mężczyzna,11,2400,0,254,48,dobry
400,'\'(43.2-55.8]\'',mężczyzna,11,4000,7,12,48,dobry
300,'\'(68.4-inf)\'',kobieta,13,1412,0,206,48,dobry
200,'\'(55.8-68.4]\'',kobieta,11,1172.2,6,39,48,dobry
300,'\'(68.4-inf)\'',mężczyzna,13,1295.37,2,309,48,dobry
300,'\'(30.6-43.2]\'',kobieta,12,1200,6,11,3,dobry
200,'\'(68.4-inf)\'',mężczyzna,13,1700,1,16,48,dobry
500,'\'(68.4-inf)\'',mężczyzna,13,1700,6,16,48,dobry
437.15,'\'(55.8-68.4]\'',kobieta,13,1362,6,58,48,dobry
537.15,'\'(55.8-68.4]\'',kobieta,13,962,2,67,48,dobry
242.28,'\'(55.8-68.4]\'',kobieta,13,1350,5,113,48,dobry
300,'\'(68.4-inf)\'',kobieta,13,729.03,0,259,48,dobry
500,'\'(43.2-55.8]\'',mężczyzna,13,864.34,1,158,48,dobry
200,'\'(68.4-inf)\'',kobieta,16,959.6,6,117,48,dobry
300,'\'(43.2-55.8]\'',mężczyzna,12,1037.34,0,127,40,z?y
401.3,'\'(43.2-55.8]\'',mężczyzna,12,1574.45,0,33,2,dobry
600,'\'(43.2-55.8]\'',kobieta,11,2800,6,321,48,dobry
400,'\'(55.8-68.4]\'',mężczyzna,11,1842.86,5,10,48,dobry
879.43,'\'(30.6-43.2]\'',mężczyzna,12,1500,3,35,0,dobry
326.78,'\'(30.6-43.2]\'',mężczyzna,11,1261.98,6,38,48,dobry
700,'\'(43.2-55.8]\'',kobieta,98,1357,0,3,48,z?y
200,'\'(-inf-30.6]\'',mężczyzna,17,985,7,15,2,dobry
300,'\'(55.8-68.4]\'',kobieta,13,611,5,141,48,dobry
500,'\'(68.4-inf)\'',kobieta,13,1248,0,252,48,dobry
500,'\'(55.8-68.4]\'',kobieta,13,1000,6,70,48,dobry
300,'\'(43.2-55.8]\'',mężczyzna,12,1000,4,45,17,dobry
202.28,'\'(55.8-68.4]\'',mężczyzna,11,3000,7,214,48,dobry
292.28,'\'(68.4-inf)\'',kobieta,13,1239.98,4,257,48,dobry
400,'\'(43.2-55.8]\'',mężczyzna,11,1300,0,36,48,dobry
423.23,'\'(30.6-43.2]\'',mężczyzna,11,2700,6,17,48,dobry
600,'\'(30.6-43.2]\'',kobieta,11,1443,1,36,48,dobry
400,'\'(43.2-55.8]\'',kobieta,12,1700,7,57,0,dobry
200,'\'(55.8-68.4]\'',mężczyzna,11,1800,0,163,48,dobry
204.78,'\'(-inf-30.6]\'',mężczyzna,11,1888.27,1,79,48,dobry
500,'\'(55.8-68.4]\'',mężczyzna,13,740,0,253,48,z?y
200,'\'(68.4-inf)\'',kobieta,13,616,6,248,48,dobry
600,'\'(43.2-55.8]\'',mężczyzna,12,3500,1,189,27,dobry
500,'\'(55.8-68.4]\'',kobieta,13,955,0,3,48,z?y
600,'\'(55.8-68.4]\'',kobieta,13,1050,7,141,48,dobry
200,'\'(68.4-inf)\'',kobieta,13,722.05,6,199,48,dobry
900,'\'(-inf-30.6]\'',kobieta,11,1440,0,24,48,z?y
800,'\'(55.8-68.4]\'',mężczyzna,12,2500,5,7,3,dobry
600,'\'(30.6-43.2]\'',kobieta,11,1290,6,21,48,dobry
360.31,'\'(30.6-43.2]\'',kobieta,11,2927,5,203,48,dobry
200,'\'(55.8-68.4]\'',kobieta,13,1440,0,156,48,z?y
300,'\'(55.8-68.4]\'',kobieta,13,1428.55,0,139,48,dobry
300,'\'(-inf-30.6]\'',mężczyzna,11,1590,1,55,48,dobry
700,'\'(43.2-55.8]\'',kobieta,12,830.46,5,47,24,dobry
563.44,'\'(55.8-68.4]\'',mężczyzna,13,2000,1,47,48,z?y
2000,'\'(55.8-68.4]\'',mężczyzna,98,20000,0,132,48,dobry
300,'\'(68.4-inf)\'',kobieta,13,1442.43,2,143,48,dobry
200,'\'(68.4-inf)\'',kobieta,13,785,3,66,48,dobry
200,'\'(-inf-30.6]\'',mężczyzna,12,1400,1,3,1,dobry
500,'\'(55.8-68.4]\'',mężczyzna,16,1770,7,91,48,dobry
400,'\'(68.4-inf)\'',mężczyzna,13,1870,2,87,48,dobry
400,'\'(55.8-68.4]\'',kobieta,12,1320,0,11,24,dobry
300,'\'(30.6-43.2]\'',kobieta,11,1228,0,36,48,dobry
500,'\'(68.4-inf)\'',kobieta,13,1200,6,121,48,dobry
200,'\'(68.4-inf)\'',kobieta,13,1200,0,121,48,dobry
400,'\'(43.2-55.8]\'',mężczyzna,11,1800,3,261,48,dobry
200,'\'(-inf-30.6]\'',kobieta,12,1100,3,17,0,dobry
300,'\'(-inf-30.6]\'',kobieta,11,2300,0,24,48,dobry
300,'\'(43.2-55.8]\'',mężczyzna,11,1300,0,454,48,dobry
290.88,'\'(55.8-68.4]\'',kobieta,13,1090.14,6,77,48,dobry
830,'\'(55.8-68.4]\'',kobieta,13,1977,4,57,48,z?y
500,'\'(43.2-55.8]\'',mężczyzna,13,1500,1,88,48,dobry
300,'\'(68.4-inf)\'',kobieta,13,1000,0,213,48,dobry
600,'\'(43.2-55.8]\'',kobieta,11,1300,1,70,48,dobry
300,'\'(55.8-68.4]\'',kobieta,13,1014,1,185,48,dobry
200,'\'(30.6-43.2]\'',kobieta,12,1032.34,6,7,4,z?y
437.15,'\'(55.8-68.4]\'',kobieta,13,820,1,33,48,dobry
400,'\'(-inf-30.6]\'',mężczyzna,99,1500,0,5,2,dobry
600,'\'(43.2-55.8]\'',kobieta,11,1700,0,207,48,dobry
200,'\'(43.2-55.8]\'',mężczyzna,99,1400,0,18,1,dobry
345.97,'\'(43.2-55.8]\'',kobieta,11,1721.7,7,122,48,dobry
400,'\'(43.2-55.8]\'',kobieta,11,1764,0,66,48,dobry
314.15,'\'(30.6-43.2]\'',kobieta,11,2709.34,7,183,48,dobry
200,'\'(55.8-68.4]\'',kobieta,13,992.96,3,14,48,dobry
350,'\'(68.4-inf)\'',kobieta,11,1348.95,1,116,48,dobry
1000,'\'(55.8-68.4]\'',mężczyzna,13,3600,1,88,48,dobry
400,'\'(43.2-55.8]\'',mężczyzna,11,3300,0,239,48,dobry
300,'\'(43.2-55.8]\'',kobieta,16,685,0,43,48,z?y
300,'\'(55.8-68.4]\'',kobieta,13,810,7,35,48,dobry
1000,'\'(43.2-55.8]\'',mężczyzna,11,2700,0,17,48,z?y
300,'\'(30.6-43.2]\'',kobieta,12,1382,0,23,0,dobry
400,'\'(-inf-30.6]\'',mężczyzna,12,1000,0,11,36,z?y
300,'\'(55.8-68.4]\'',kobieta,11,1680,6,387,48,dobry
350,'\'(55.8-68.4]\'',kobieta,13,1500,0,48,48,dobry
500,'\'(55.8-68.4]\'',kobieta,13,1240,3,72,48,dobry
300,'\'(-inf-30.6]\'',kobieta,11,1600,0,54,48,z?y
300,'\'(-inf-30.6]\'',mężczyzna,12,952.89,2,25,1,dobry
290,'\'(55.8-68.4]\'',kobieta,13,1280,7,19,48,dobry
300,'\'(55.8-68.4]\'',kobieta,13,1400,0,120,48,dobry
200,'\'(55.8-68.4]\'',mężczyzna,13,1611,1,143,48,dobry
297.28,'\'(43.2-55.8]\'',kobieta,11,1077.49,1,374,48,dobry
450,'\'(55.8-68.4]\'',mężczyzna,13,3900,0,116,48,dobry
400,'\'(55.8-68.4]\'',kobieta,13,1800,1,71,48,dobry
250,'\'(-inf-30.6]\'',mężczyzna,12,1500,1,8,3,dobry
800,'\'(55.8-68.4]\'',kobieta,13,5100,2,30,48,dobry
600,'\'(30.6-43.2]\'',kobieta,98,5000,2,86,48,dobry
500,'\'(55.8-68.4]\'',kobieta,13,1300,0,32,48,dobry
500,'\'(43.2-55.8]\'',kobieta,11,3000,1,95,48,dobry
400,'\'(55.8-68.4]\'',kobieta,13,1300,0,36,48,dobry
500,'\'(43.2-55.8]\'',kobieta,11,1700,6,308,48,dobry
400,'\'(55.8-68.4]\'',kobieta,13,850,6,69,48,dobry
392.82,'\'(43.2-55.8]\'',mężczyzna,11,1400,1,41,48,dobry
200,'\'(55.8-68.4]\'',kobieta,13,984,2,13,48,dobry
200,'\'(68.4-inf)\'',kobieta,13,965,6,247,48,dobry
300,'\'(43.2-55.8]\'',mężczyzna,11,2100,2,52,48,dobry
400,'\'(68.4-inf)\'',kobieta,13,1900,3,123,48,dobry
389.72,'\'(43.2-55.8]\'',kobieta,98,3000,3,87,48,dobry
200,'\'(43.2-55.8]\'',mężczyzna,11,2094.17,3,243,48,dobry
478.6,'\'(43.2-55.8]\'',kobieta,11,2245.01,1,148,48,dobry
400,'\'(30.6-43.2]\'',mężczyzna,11,1186,0,12,48,dobry
200,'\'(55.8-68.4]\'',kobieta,13,744.07,0,15,48,dobry
339.72,'\'(55.8-68.4]\'',mężczyzna,13,1162.41,1,106,48,dobry
300,'\'(55.8-68.4]\'',kobieta,16,1132,3,99,48,z?y
830,'\'(55.8-68.4]\'',kobieta,13,1400,2,248,48,dobry
500,'\'(55.8-68.4]\'',mężczyzna,13,1900,7,152,48,dobry
200,'\'(-inf-30.6]\'',mężczyzna,17,728,7,102,28,dobry
330.1,'\'(55.8-68.4]\'',kobieta,13,1668,7,93,48,dobry
389.72,'\'(30.6-43.2]\'',mężczyzna,11,1058,2,16,48,dobry
500,'\'(55.8-68.4]\'',mężczyzna,11,2100,6,189,48,dobry
500,'\'(55.8-68.4]\'',mężczyzna,13,1553,0,111,48,dobry
200,'\'(55.8-68.4]\'',mężczyzna,13,12220,5,73,48,dobry
500,'\'(43.2-55.8]\'',mężczyzna,11,2500,1,376,48,dobry
200,'\'(43.2-55.8]\'',kobieta,99,1100,4,54,1,dobry
500,'\'(43.2-55.8]\'',kobieta,11,1800,7,55,48,dobry
400,'\'(-inf-30.6]\'',mężczyzna,98,1200,0,18,48,dobry
515.96,'\'(55.8-68.4]\'',kobieta,13,1801.41,2,40,48,dobry
200,'\'(68.4-inf)\'',kobieta,13,865,7,130,48,dobry
700,'\'(30.6-43.2]\'',kobieta,11,3100,2,123,48,dobry
700,'\'(30.6-43.2]\'',kobieta,11,3178.76,2,123,48,dobry
400,'\'(55.8-68.4]\'',kobieta,13,1400,0,48,48,dobry
300,'\'(-inf-30.6]\'',mężczyzna,12,3400,0,19,19,dobry
378.91,'\'(68.4-inf)\'',kobieta,13,1291.18,7,81,48,dobry
300,'\'(55.8-68.4]\'',mężczyzna,13,2000,0,36,48,dobry
500,'\'(30.6-43.2]\'',mężczyzna,11,3898,2,183,48,dobry
600,'\'(68.4-inf)\'',mężczyzna,13,2547,1,197,48,dobry
300,'\'(43.2-55.8]\'',mężczyzna,99,784,0,2,10,z?y
300,'\'(-inf-30.6]\'',kobieta,12,1500,6,6,12,dobry
299.23,'\'(43.2-55.8]\'',kobieta,11,1400,3,163,48,dobry
500,'\'(43.2-55.8]\'',kobieta,12,1600,0,12,5,dobry
500,'\'(-inf-30.6]\'',kobieta,12,1447,7,24,12,dobry
349.66,'\'(55.8-68.4]\'',mężczyzna,13,1601.87,3,47,48,dobry
300,'\'(43.2-55.8]\'',kobieta,16,1740,0,116,48,dobry
206,'\'(-inf-30.6]\'',mężczyzna,12,1521,3,22,8,dobry
300,'\'(43.2-55.8]\'',kobieta,11,992.84,7,123,48,dobry
300,'\'(68.4-inf)\'',kobieta,13,1167.94,2,371,48,dobry
200,'\'(43.2-55.8]\'',kobieta,11,1400,7,119,48,dobry
300,'\'(43.2-55.8]\'',mężczyzna,11,1360,3,122,48,dobry
300,'\'(55.8-68.4]\'',mężczyzna,11,2100,0,32,48,z?y
700,'\'(55.8-68.4]\'',kobieta,13,1872,7,37,48,dobry
527.15,'\'(68.4-inf)\'',kobieta,13,951,6,164,48,dobry
773.72,'\'(55.8-68.4]\'',kobieta,13,860,1,82,48,dobry
300,'\'(68.4-inf)\'',kobieta,13,1536,2,38,48,dobry
1000,'\'(68.4-inf)\'',kobieta,13,2291,3,73,48,dobry
200,'\'(43.2-55.8]\'',kobieta,16,749.28,7,67,48,dobry
387.15,'\'(68.4-inf)\'',kobieta,16,1401,1,77,48,dobry
400,'\'(55.8-68.4]\'',mężczyzna,16,1473.04,4,167,48,dobry
200,'\'(55.8-68.4]\'',kobieta,98,980,6,12,48,dobry
300,'\'(43.2-55.8]\'',kobieta,12,1038.68,3,23,3,dobry
300,'\'(68.4-inf)\'',mężczyzna,13,1426,7,79,48,dobry
342.86,'\'(55.8-68.4]\'',kobieta,13,1087,1,73,48,dobry
200,'\'(55.8-68.4]\'',kobieta,99,780,3,3,1,dobry
750,'\'(43.2-55.8]\'',mężczyzna,16,588,0,424,48,dobry
300,'\'(55.8-68.4]\'',kobieta,13,1374,0,48,48,dobry
249.3,'\'(55.8-68.4]\'',kobieta,16,2100,2,41,48,dobry
500,'\'(43.2-55.8]\'',kobieta,17,990,3,74,11,dobry
500,'\'(43.2-55.8]\'',mężczyzna,11,2080,1,320,48,dobry
300,'\'(43.2-55.8]\'',kobieta,98,911,7,100,48,dobry
472.7,'\'(55.8-68.4]\'',kobieta,13,3700,7,29,48,dobry
200,'\'(43.2-55.8]\'',kobieta,12,984.34,6,20,0,z?y
400,'\'(55.8-68.4]\'',mężczyzna,12,1000,7,14,12,dobry
400,'\'(43.2-55.8]\'',kobieta,12,1000,7,34,0,dobry
1000,'\'(30.6-43.2]\'',kobieta,11,1900,1,181,48,dobry
300,'\'(55.8-68.4]\'',kobieta,13,1100,4,107,48,dobry
400,'\'(55.8-68.4]\'',kobieta,16,1589,0,29,48,dobry
300,'\'(55.8-68.4]\'',kobieta,13,802.83,1,203,48,dobry
1921.84,'\'(43.2-55.8]\'',mężczyzna,11,2353,1,101,48,z?y
600,'\'(55.8-68.4]\'',kobieta,13,1233,0,126,48,dobry
300,'\'(68.4-inf)\'',mężczyzna,13,1180,0,143,48,dobry
200,'\'(68.4-inf)\'',mężczyzna,13,1642.87,1,72,48,dobry
200,'\'(30.6-43.2]\'',kobieta,11,2505,1,167,48,dobry
200,'\'(55.8-68.4]\'',kobieta,16,634,6,54,48,dobry
215.24,'\'(43.2-55.8]\'',mężczyzna,16,1045,6,202,48,dobry
400,'\'(55.8-68.4]\'',kobieta,13,1500,3,63,48,dobry
397.15,'\'(55.8-68.4]\'',kobieta,16,2300,8,66,48,dobry
200,'\'(55.8-68.4]\'',kobieta,16,2300,1,66,48,dobry
497.15,'\'(43.2-55.8]\'',mężczyzna,16,2150,1,84,48,dobry
1500,'\'(55.8-68.4]\'',mężczyzna,98,3000,0,72,48,dobry
741.52,'\'(30.6-43.2]\'',kobieta,11,2200,3,40,48,dobry
200,'\'(30.6-43.2]\'',kobieta,12,980,7,13,2,dobry
600,'\'(30.6-43.2]\'',kobieta,11,2400,6,116,48,dobry
400,'\'(30.6-43.2]\'',kobieta,11,1300,0,232,48,z?y
500,'\'(55.8-68.4]\'',kobieta,13,1900,1,91,48,dobry
500,'\'(55.8-68.4]\'',kobieta,13,2800,0,120,48,z?y
300,'\'(55.8-68.4]\'',kobieta,13,714,0,225,48,dobry
254.98,'\'(55.8-68.4]\'',kobieta,16,634.64,6,139,48,dobry
300,'\'(55.8-68.4]\'',kobieta,11,2800,2,12,48,dobry
300,'\'(55.8-68.4]\'',kobieta,11,1187.06,0,136,48,dobry
500,'\'(30.6-43.2]\'',mężczyzna,98,3014,0,105,48,dobry
200,'\'(68.4-inf)\'',kobieta,13,803.86,7,161,48,dobry
1000,'\'(30.6-43.2]\'',kobieta,98,6000,3,20,48,dobry
200,'\'(55.8-68.4]\'',mężczyzna,13,1162,7,224,48,dobry
252.16,'\'(55.8-68.4]\'',kobieta,13,1658,7,32,48,dobry
800,'\'(55.8-68.4]\'',mężczyzna,13,3040,0,204,48,dobry
400,'\'(55.8-68.4]\'',kobieta,13,1107,1,18,48,dobry
800,'\'(55.8-68.4]\'',kobieta,13,3440,7,54,48,dobry
300,'\'(-inf-30.6]\'',mężczyzna,11,3000,0,44,48,z?y
200,'\'(43.2-55.8]\'',kobieta,12,990.34,0,59,13,dobry
391.97,'\'(55.8-68.4]\'',kobieta,13,1507,1,62,48,dobry
200,'\'(55.8-68.4]\'',kobieta,13,1635,7,123,48,dobry
392.43,'\'(43.2-55.8]\'',mężczyzna,12,1963.88,6,9,11,dobry
250,'\'(30.6-43.2]\'',mężczyzna,12,1637,0,55,48,dobry
200,'\'(-inf-30.6]\'',kobieta,12,900,0,6,12,z?y
276.26,'\'(43.2-55.8]\'',mężczyzna,11,2100,4,41,48,dobry
800,'\'(68.4-inf)\'',kobieta,13,2120,2,122,48,dobry
300,'\'(43.2-55.8]\'',kobieta,16,1500,2,5,48,dobry
500,'\'(43.2-55.8]\'',kobieta,11,1738.57,0,60,48,dobry
250,'\'(55.8-68.4]\'',kobieta,13,1650,1,118,48,dobry
299.72,'\'(55.8-68.4]\'',kobieta,13,714,8,225,48,dobry
438.67,'\'(43.2-55.8]\'',kobieta,11,1577.42,0,208,48,dobry
800,'\'(30.6-43.2]\'',mężczyzna,98,2500,0,144,48,z?y
500,'\'(43.2-55.8]\'',mężczyzna,12,1952.35,0,7,4,dobry
200,'\'(43.2-55.8]\'',mężczyzna,11,2000,0,204,48,dobry
500,'\'(68.4-inf)\'',mężczyzna,13,1700,0,84,48,z?y
400,'\'(55.8-68.4]\'',kobieta,16,2084.79,1,144,48,dobry
