@relation '272644L1_2-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F1-S2-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F3-S4-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F2-S3-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsp?acona_sp?acona_cz:dobry,windykacja_windykacja_sp_odmowa:z?y-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsp?acona_sp?acona_cz:dobry,odmowa_windykacja_windykacja_sp:z?y-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsplacona_splacona_cz:dobry,odmowa_windykacja_windykacja_sp:z?y-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R2-precision6'

@attribute 'kwota kredytu' numeric
@attribute wiek {'\'(-inf-30.6]\'','\'(30.6-43.2]\'','\'(43.2-55.8]\'','\'(55.8-68.4]\'','\'(68.4-inf)\''}
@attribute płeć {kobieta,mężczyzna}
@attribute 'rodzaj źródła dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres dochód (months)' numeric
@attribute 'okres będzie dochód (months)' numeric
@attribute '﻿status pozyczki' {dobry,z?y}

@data
200,'\'(55.8-68.4]\'',kobieta,13,910,5,70,48,dobry
200,'\'(-inf-30.6]\'',kobieta,12,1100,1,15,2,dobry
700,'\'(30.6-43.2]\'',mężczyzna,12,3000,0,8,2,z?y
200,'\'(43.2-55.8]\'',mężczyzna,11,2094.17,1,241,48,dobry
300,'\'(30.6-43.2]\'',kobieta,11,2899.34,1,121,48,dobry
200,'\'(68.4-inf)\'',kobieta,13,722.05,4,197,48,dobry
515.96,'\'(55.8-68.4]\'',kobieta,13,1801.41,0,38,48,dobry
1000,'\'(55.8-68.4]\'',kobieta,13,1820,0,69,48,dobry
200,'\'(55.8-68.4]\'',kobieta,13,855,0,84,48,z?y
400,'\'(68.4-inf)\'',mężczyzna,13,1870,0,85,48,dobry
500,'\'(55.8-68.4]\'',mężczyzna,16,1770,5,89,48,dobry
200,'\'(30.6-43.2]\'',kobieta,11,1037.34,0,62,48,z?y
397.31,'\'(55.8-68.4]\'',kobieta,13,1149.06,0,161,48,z?y
400,'\'(55.8-68.4]\'',kobieta,13,850,4,67,48,dobry
200,'\'(-inf-30.6]\'',mężczyzna,99,1393.85,3,5,0,dobry
300,'\'(-inf-30.6]\'',mężczyzna,12,1500,0,6,2,dobry
200,'\'(55.8-68.4]\'',kobieta,13,1216,5,141,48,dobry
300,'\'(43.2-55.8]\'',kobieta,98,1357,0,1,48,dobry
300,'\'(43.2-55.8]\'',mężczyzna,12,1000,2,43,19,dobry
300,'\'(68.4-inf)\'',kobieta,13,1239.98,2,255,48,dobry
345.97,'\'(43.2-55.8]\'',kobieta,11,1721.7,5,120,48,dobry
500,'\'(30.6-43.2]\'',mężczyzna,11,3898,0,181,48,dobry
800,'\'(-inf-30.6]\'',mężczyzna,11,1881,0,36,48,z?y
500,'\'(55.8-68.4]\'',kobieta,13,1691.3,1,73,48,dobry
200,'\'(55.8-68.4]\'',kobieta,16,1825.35,0,105,48,z?y
400,'\'(55.8-68.4]\'',mężczyzna,13,3900,0,114,48,dobry
300,'\'(-inf-30.6]\'',mężczyzna,11,1459,2,9,48,dobry
200,'\'(43.2-55.8]\'',mężczyzna,11,1566.82,1,349,48,dobry
300,'\'(30.6-43.2]\'',kobieta,12,476,0,12,2,z?y
314.83,'\'(30.6-43.2]\'',kobieta,11,2709.34,5,181,48,dobry
400,'\'(43.2-55.8]\'',mężczyzna,11,1800,1,259,48,dobry
298.74,'\'(43.2-55.8]\'',mężczyzna,13,1688.82,3,99,48,z?y
200,'\'(68.4-inf)\'',kobieta,13,785,1,64,48,dobry
600,'\'(55.8-68.4]\'',kobieta,13,1050,5,139,48,dobry
500,'\'(43.2-55.8]\'',mężczyzna,12,1952.35,0,4,7,dobry
400,'\'(43.2-55.8]\'',kobieta,11,980,0,200,48,dobry
370,'\'(30.6-43.2]\'',kobieta,11,1087,0,238,48,z?y
200,'\'(55.8-68.4]\'',kobieta,13,714,0,222,48,dobry
500,'\'(30.6-43.2]\'',mężczyzna,11,2261,0,51,48,z?y
500,'\'(30.6-43.2]\'',kobieta,11,1792,0,62,48,z?y
400,'\'(43.2-55.8]\'',mężczyzna,12,1963.88,4,6,0,dobry
290,'\'(55.8-68.4]\'',kobieta,13,1280,5,17,48,dobry
250,'\'(30.6-43.2]\'',kobieta,11,800.51,0,20,48,dobry
300,'\'(55.8-68.4]\'',kobieta,13,1525.46,0,36,48,dobry
200,'\'(55.8-68.4]\'',kobieta,13,757.1,0,198,48,z?y
300,'\'(43.2-55.8]\'',mężczyzna,11,2100,0,50,48,dobry
1000,'\'(30.6-43.2]\'',mężczyzna,11,3800,0,55,48,z?y
200,'\'(55.8-68.4]\'',kobieta,16,1600,1,24,48,dobry
500,'\'(-inf-30.6]\'',kobieta,12,1447,5,22,2,dobry
300,'\'(55.8-68.4]\'',kobieta,13,2282,1,25,48,dobry
399.72,'\'(43.2-55.8]\'',kobieta,11,2368.57,3,410,48,dobry
400,'\'(55.8-68.4]\'',mężczyzna,12,1106.03,0,17,9,z?y
200,'\'(55.8-68.4]\'',kobieta,13,1212,0,199,48,z?y
