@relation 272644L1_2-weka.filters.unsupervised.attribute.Remove-R1

@attribute 'kwota kredytu' numeric
@attribute wiek numeric
@attribute płeć {kobieta,mężczyzna}
@attribute 'rodzaj źródła dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres dochód (months)' numeric
@attribute 'okres będzie dochód (months)' numeric
@attribute 'opóźnienie spłaty (dni)' numeric

@data
399.66,39,kobieta,11,1239.05,2,204,48,8
347.63,61,mężczyzna,13,1500,5,23,48,7
479.15,61,mężczyzna,11,1250,0,65,48,4
292.57,54,mężczyzna,11,2100,2,38,48,2
300,79,kobieta,13,1167.94,0,369,48,1
275.97,41,kobieta,11,1000,0,61,48,4
500,50,kobieta,17,990,1,72,13,2
200,39,mężczyzna,11,1300,5,45,48,0
500,53,mężczyzna,11,2080,1,318,48,2
200,50,mężczyzna,16,1045,4,199,48,0
400,65,mężczyzna,16,1473.04,2,165,48,1
300,71,mężczyzna,13,1426,5,77,48,0
200,56,kobieta,98,980,4,10,48,0
299.28,52,kobieta,11,1400,1,161,48,0
300,45,mężczyzna,12,670,5,9,2,0
300,46,mężczyzna,11,1360,1,120,48,0
200,26,mężczyzna,12,1100,0,33,26,0
200,31,kobieta,12,980,5,10,5,1
300,63,kobieta,13,1100,2,105,48,0
200,48,kobieta,11,967.64,4,319,48,302
300,48,mężczyzna,11,1600,0,342,48,10
400,50,kobieta,12,1000,5,32,2,2
400,60,mężczyzna,12,1000,5,12,2,2
582,62,kobieta,13,3700,5,27,48,0
600,51,kobieta,11,3200,5,54,48,6
300,66,kobieta,13,1031,1,122,48,0
700,61,kobieta,13,2066,5,130,48,3
500,61,kobieta,13,1310,1,79,48,0
200,63,mężczyzna,13,1287.66,4,97,48,0
286.39,59,kobieta,13,1658,5,30,48,3
200,58,kobieta,16,634,4,52,48,0
600,33,kobieta,11,1540,2,40,48,4
200,54,kobieta,11,1400,5,118,48,1
200,63,kobieta,13,1233,4,124,48,0
200,57,kobieta,11,983.97,3,79,48,10
250,42,kobieta,99,2290.55,2,19,1,0
286.13,46,kobieta,12,1032,5,39,1,0
200,73,kobieta,13,866.46,2,196,48,4
200,37,kobieta,12,599.03,4,20,1,8
700,61,kobieta,13,1977,3,56,48,18
200,65,kobieta,13,670,1,67,48,7
200,68,kobieta,13,803.86,5,159,48,0
300,71,mężczyzna,13,562,1,82,48,5
200,74,kobieta,13,1026,5,248,48,0
300,46,kobieta,11,900,5,94,48,2
800,55,kobieta,13,3440,5,52,48,2
300,50,mężczyzna,16,2150,0,82,48,0
400,60,kobieta,13,1500,1,61,48,0
200,58,kobieta,13,1083.23,0,98,48,3
300,77,kobieta,13,1300,2,194,48,0
500,62,kobieta,13,962,1,66,48,12
300,55,kobieta,11,2800,0,10,48,0
465.37,35,kobieta,98,4000,5,20,48,9
500,35,mężczyzna,11,1850,0,56,48,3
600,55,kobieta,16,2300,6,64,48,0
600,27,kobieta,11,2100,0,24,48,0
300,70,mężczyzna,13,1420,1,54,48,0
200,45,kobieta,11,1344.9,4,47,48,2
200.56,60,kobieta,13,1107,0,16,48,0
300,71,mężczyzna,13,1772.53,2,281,48,2
400,34,kobieta,11,980.11,2,46,48,8
622.85,65,mężczyzna,13,3040,1,202,48,0
300,70,kobieta,16,1235,0,34,48,0
300,62,mężczyzna,15,1100.79,0,91,48,0
200,62,mężczyzna,13,1162,5,222,48,0
200,60,kobieta,13,1635,5,121,48,0
300,63,kobieta,13,917,3,77,48,4
300,68,kobieta,13,1019,0,134,48,0
400,60,kobieta,16,1411,2,67,48,1
284.19,38,kobieta,98,1200,5,47,48,0
300,29,mężczyzna,12,1800,0,5,1,0
300,54,kobieta,16,1500,0,3,48,0
800,68,kobieta,13,2120,0,120,48,0
300,43,kobieta,11,1738.57,0,58,48,3
300,51,mężczyzna,12,1030,0,10,48,5266
300,54,kobieta,11,2800,5,61,48,0
530,32,mężczyzna,11,2050,0,119,48,7
300,70,kobieta,13,1000,2,65,48,0
200,43,mężczyzna,11,2284.23,0,301,48,0
400,58,mężczyzna,13,2031,0,159,48,5264
200,72,mężczyzna,13,1700,0,15,48,7
400,51,mężczyzna,98,4293,0,179,48,0
200,53,kobieta,11,3641,0,144,48,0
399.72,62,kobieta,13,714,6,223,48,0
250,75,kobieta,13,1000,0,212,48,0
460,65,kobieta,13,1013.74,5,114,48,1
400,64,kobieta,13,840,3,114,48,2
800,57,kobieta,13,1530,0,26,48,0
495.15,38,mężczyzna,11,2470,2,67,48,5
500,49,kobieta,11,2500,1,234,48,0
200,39,kobieta,12,1048.27,0,4,15,4
200,62,mężczyzna,16,1313.41,5,29,48,229
350,61,mężczyzna,16,837,4,232,48,0
400,58,kobieta,11,1500,4,86,48,0
300,44,mężczyzna,11,3300,2,238,48,0
315.49,73,mężczyzna,13,960,5,141,48,0
423.23,31,mężczyzna,11,2700,5,16,48,7
365.96,47,mężczyzna,12,1574.45,4,32,3,6
350,56,kobieta,17,547.89,2,57,1,5262
300,68,kobieta,13,1027,1,193,48,0
799.85,33,kobieta,11,2050,1,30,48,5262
400,57,kobieta,13,1817.24,4,19,48,3
407.31,68,kobieta,16,980,5,132,48,0
593.94,52,mężczyzna,11,3200,5,190,48,0
300,33,kobieta,11,2200,0,12,48,0
550,54,kobieta,12,1675,5,10,1,3
300,63,kobieta,16,1389,0,92,48,0
900,58,kobieta,17,684,5,191,18,0
200,55,mężczyzna,11,1460.17,2,62,48,1
670,63,kobieta,13,930,2,95,48,0
235.97,65,mężczyzna,12,1100,5,23,13,0
450,70,kobieta,13,729.03,6,258,48,0
700,65,kobieta,13,930,6,132,48,0
200,61,kobieta,13,975,5,28,48,0
399.72,47,mężczyzna,12,600,6,10,17,0
500,53,mężczyzna,11,1320,5,343,48,0
389.72,61,kobieta,13,1170,4,79,48,0
200,31,kobieta,12,1032.34,5,6,5,11
200,69,kobieta,16,959.6,5,116,48,5
200,67,kobieta,13,720.19,3,94,48,0
500,60,kobieta,13,1212,5,55,48,0
200,53,kobieta,16,1740,2,115,48,0
693.7,38,kobieta,11,1900,1,209,48,3
400,62,kobieta,13,1474.55,4,66,48,6
400,53,kobieta,13,1213,0,51,48,2
339.72,54,kobieta,16,1045.6,6,13,48,0
300,33,mężczyzna,11,1800,5,166,48,2
300,39,kobieta,12,1027,5,10,48,0
400,59,mężczyzna,11,2000,0,71,48,0
200,61,kobieta,13,997,5,80,48,0
200,55,kobieta,12,1350,5,23,1,2
265.58,62,kobieta,13,1189,5,71,48,0
563.44,68,mężczyzna,13,2000,0,46,48,10
500,61,kobieta,13,1362,5,57,48,1
800,35,mężczyzna,12,1500,2,34,1,1
500,44,kobieta,11,2105,0,24,48,5257
300,64,kobieta,16,1132,2,98,48,13
300,71,mężczyzna,13,1295.37,1,308,48,0
300,60,kobieta,13,936,3,32,48,0
375.81,29,mężczyzna,11,1888.27,0,78,48,3
600,32,kobieta,11,1290,5,20,48,5
426.61,49,kobieta,11,2470,6,355,48,0
200,75,kobieta,13,616,5,247,48,3
600,49,kobieta,11,2800,5,320,48,1
500,72,kobieta,13,640,2,140,48,0
400,66,kobieta,13,1137.19,5,97,48,0
200,56,kobieta,11,1172.2,5,38,48,0
500,73,kobieta,13,951,5,163,48,15
500,42,mężczyzna,98,3014,0,103,48,6
300,49,mężczyzna,13,3900,6,31,48,0
450,69,kobieta,13,1800,0,118,48,0
250,54,kobieta,17,864.6,1,3,4,0
300,35,kobieta,12,1200,5,10,4,0
441.27,40,kobieta,12,660,5,13,25,6
283.31,52,kobieta,12,1050,4,35,1,0
400,51,mężczyzna,11,1400,0,40,48,9
250,65,mężczyzna,13,1559,0,72,48,0
300,21,mężczyzna,12,952.89,1,24,2,8
357.31,40,mężczyzna,11,1261.98,5,37,48,1
500,70,kobieta,13,1200,5,120,48,6
412.88,38,kobieta,11,2927,4,202,48,5
242.28,65,kobieta,13,1350,4,112,48,1
300,57,kobieta,13,611,4,140,48,1
200,72,kobieta,13,730,4,562,48,0
200,74,kobieta,13,1026,6,248,48,0
400,53,mężczyzna,11,4000,6,11,48,0
300,62,kobieta,13,1130,5,104,48,0
400,58,kobieta,16,1589,1,28,48,15
600,54,kobieta,11,1300,0,69,48,6
600,43,kobieta,11,1443,0,35,48,1
400,56,mężczyzna,11,1842.86,4,9,48,0
500,48,kobieta,98,1357,0,2,48,0
200,24,mężczyzna,12,1000,6,13,12,0
600,46,mężczyzna,11,2000,0,52,48,0
400,61,kobieta,13,1090.14,5,76,48,4
500,33,mężczyzna,12,5000,0,6,21,5255
300,57,kobieta,11,1680,5,386,48,6
300,54,mężczyzna,11,1700,5,40,48,5255
300,50,mężczyzna,12,1000,3,44,18,0
305,65,kobieta,13,1210,1,139,48,5255
400,29,mężczyzna,11,1590,0,54,48,4
