@relation 272644L1_2-weka.filters.unsupervised.attribute.Remove-R1

@attribute 'kwota kredytu' numeric
@attribute wiek numeric
@attribute płeć {kobieta,mężczyzna}
@attribute 'rodzaj źródła dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres dochód (months)' numeric
@attribute 'okres będzie dochód (months)' numeric
@attribute 'opóźnienie spłaty (dni)' numeric

@data
500,63,kobieta,13,1900,2,92,48,0
500,44,kobieta,11,1738.57,1,61,48,2
400,63,kobieta,16,2084.79,2,145,48,0
300,36,mężczyzna,99,750,0,1,6,5
400,69,kobieta,13,1017,1,165,48,0
500,48,kobieta,11,1700,0,93,48,0
500,45,mężczyzna,12,1952.35,1,8,3,4
200,57,kobieta,99,670,0,132,43,0
300,67,kobieta,16,957,0,204,48,0
278.98,39,kobieta,98,1200,8,50,48,0
200,63,kobieta,13,714,9,226,48,0
883.93,63,mężczyzna,13,2474,3,19,48,3
300,71,kobieta,13,1000,5,68,48,0
400,71,kobieta,13,1016,1,193,48,0
561.8,66,kobieta,16,892,2,205,48,1
600,43,mężczyzna,98,3014,0,106,48,0
900,59,kobieta,17,684,8,194,15,0
200,62,kobieta,13,997,8,83,48,0
530,63,kobieta,13,1691.3,4,77,48,10
500,44,mężczyzna,13,2000,0,21,48,212
500,42,kobieta,11,1870,1,114,48,5170
600,73,kobieta,13,640,2,143,48,0
350,71,kobieta,13,729.03,9,261,48,2
400,34,kobieta,11,2200,0,15,48,0
300,74,kobieta,13,1412,2,208,48,0
400,74,kobieta,13,1140,0,241,48,0
200,32,kobieta,12,1865,5,24,10,0
400,27,kobieta,11,2300,0,26,48,0
600,36,kobieta,11,2400,7,117,48,10
759.23,73,kobieta,13,2534,2,131,48,10
700,62,kobieta,13,2066,8,133,48,2
300,71,mężczyzna,13,1420,2,57,48,3
300,72,mężczyzna,13,562,4,85,48,2
315.12,74,mężczyzna,13,960,8,144,48,2
500,54,mężczyzna,11,1320,8,346,48,0
600,78,mężczyzna,13,2609,0,195,48,0
379.9,64,kobieta,13,930,5,98,48,0
750,56,mężczyzna,16,588,0,426,48,58
265.58,63,kobieta,13,1189,8,74,48,0
200,34,mężczyzna,11,1800,8,169,48,0
300,38,mężczyzna,98,1200,0,4,48,5168
500,42,kobieta,11,2824,0,105,48,1
597.15,48,mężczyzna,12,600,9,13,14,0
500,23,mężczyzna,12,2100,0,2,16,189
300,36,kobieta,12,1300,0,3,4,0
300,55,kobieta,16,1500,3,6,48,2
300,27,mężczyzna,12,1100,0,8,40,0
400,59,kobieta,11,1500,7,89,48,2
200,55,kobieta,16,1045.6,9,16,48,0
200,56,mężczyzna,11,1460.17,5,65,48,0
200,32,kobieta,12,980,8,14,1,1
200,44,mężczyzna,11,2284.23,3,304,48,0
254.63,58,kobieta,16,634.64,7,140,48,0
200,70,kobieta,16,959.6,8,119,48,0
200,32,mężczyzna,11,2000,2,9,48,0
299.12,64,kobieta,16,1389,3,95,48,0
200,73,kobieta,13,730,7,565,48,1
400,61,kobieta,16,1411,5,70,48,2
630,64,kobieta,13,3251,2,142,48,0
600,55,kobieta,11,1500,0,114,48,0
400,44,kobieta,11,1400,0,29,48,1
300,36,kobieta,12,1200,8,13,1,0
300,43,kobieta,11,1286.16,1,121,48,0
300,40,kobieta,12,1027,8,13,47,0
500,47,mężczyzna,99,1400,0,20,0,0
500,58,kobieta,12,1400,0,9,6,7
374.91,55,kobieta,12,1000,2,49,20,0
350,63,kobieta,13,1130,0,107,48,3
267.98,53,kobieta,11,1050,7,38,48,2
200,22,kobieta,12,700,1,4,1,2
300,64,mężczyzna,12,1231,0,2,5,0
600,63,kobieta,13,3700,0,31,48,0
500,54,kobieta,11,1700,0,209,48,0
200,61,kobieta,13,917,0,81,48,0
247.28,58,kobieta,13,611,7,143,48,2
300,47,kobieta,11,900,8,97,48,6
300,71,kobieta,13,729.03,2,261,48,4
300,54,mężczyzna,11,1300,0,456,48,0
200,49,mężczyzna,11,1600,2,346,48,5165
400,43,mężczyzna,11,2636,0,47,48,0
392.6,55,kobieta,11,2368.57,1,414,48,172
300,50,mężczyzna,13,3900,9,34,48,4
500,31,mężczyzna,12,1700,0,1,48,172
293.42,41,kobieta,12,1896,2,17,1,5165
325.58,53,kobieta,11,2065.98,1,183,48,8
202.28,61,mężczyzna,11,3000,9,216,48,0
205.44,66,kobieta,13,1350,7,115,48,0
350,55,kobieta,12,1700,9,59,10,0
400,37,kobieta,11,1228,0,38,48,5165
550,55,kobieta,12,1675,8,13,0,4
500,25,mężczyzna,11,2000,0,41,48,0
300,61,kobieta,13,810,9,37,48,0
200,54,kobieta,13,1213,0,54,48,7
600,46,mężczyzna,12,3500,3,191,25,0
500,48,mężczyzna,13,864.34,3,160,48,0
400,64,kobieta,13,917,2,80,48,5164
600,36,mężczyzna,99,2880,0,2,10,5164
237.94,65,kobieta,13,840,6,117,48,4
227.88,66,mężczyzna,12,1100,8,26,10,0
600,55,kobieta,11,2800,0,64,48,5
500,45,mężczyzna,11,2000,0,8,48,5164
500,61,kobieta,13,1000,8,72,48,0
500,76,kobieta,13,1248,2,254,48,0
200,58,mężczyzna,13,12220,0,75,48,4
537.15,63,kobieta,13,962,4,69,48,3
300,34,kobieta,11,1380,0,30,48,0
300,61,kobieta,13,1087.72,0,5,48,0
441.54,36,kobieta,98,4000,8,23,48,4
200,64,mężczyzna,13,1287.66,7,100,48,10
200,57,kobieta,15,678,0,144,48,0
200,50,kobieta,12,976,0,1,1,0
300,57,kobieta,11,1800,1,116,48,0
500,65,mężczyzna,11,2600,0,139,48,2
300,60,mężczyzna,11,2000,3,74,48,4
200,28,mężczyzna,12,1400,3,5,1,0
300,76,kobieta,13,821.35,0,250,48,0
700,68,kobieta,13,1431,1,251,48,0
400,54,mężczyzna,11,4000,9,14,48,18
200,62,kobieta,13,975,8,31,48,14
200,32,mężczyzna,98,2000,0,18,48,0
600,44,kobieta,11,1443,3,38,48,1
400,57,mężczyzna,11,1842.86,7,12,48,0
300,60,kobieta,13,1098,0,60,48,0
600,63,kobieta,13,714,2,226,48,0
600,40,kobieta,11,1800,1,56,48,9
430,39,mężczyzna,11,2470,5,70,48,7
450,69,kobieta,13,1019,1,137,48,0
200,58,mężczyzna,11,1800,2,165,48,0
300,25,mężczyzna,12,1440,0,7,17,0
300,38,kobieta,12,1382,2,25,10,0
300,62,kobieta,13,992.96,0,16,48,0
600,33,mężczyzna,11,2200,0,132,48,4
387.11,75,kobieta,13,1373,1,114,48,0
280.88,63,mężczyzna,13,2000,2,38,48,0
400,45,mężczyzna,11,3300,2,241,48,0
200,73,kobieta,13,785,5,68,48,0
650,60,mężczyzna,13,3900,1,118,48,2
311.65,36,kobieta,11,2709.34,9,185,48,0
200,50,mężczyzna,12,822,0,48,48,0
400,50,kobieta,11,1764,2,68,48,0
300,69,mężczyzna,13,1689.98,0,85,48,0
500,59,mężczyzna,16,1770,9,93,48,0
290,62,kobieta,13,1280,9,21,48,0
500,63,kobieta,13,1474.55,1,69,48,21
300,59,kobieta,13,1240,1,74,48,0
500,61,kobieta,13,1800,0,73,48,0
240,57,kobieta,11,1172.2,8,41,48,3
500,39,mężczyzna,13,1648,0,17,48,5159
643.05,52,kobieta,11,3200,8,58,48,1
585.7,62,kobieta,13,1050,9,143,48,0
700,60,mężczyzna,11,2800,1,100,48,0
200,78,kobieta,13,1100,0,252,48,5
836,62,kobieta,13,1362,8,60,48,2
400,61,kobieta,13,1208,0,84,48,0
400,68,kobieta,13,1094,1,188,48,5
390.11,60,kobieta,12,1320,2,13,22,12
249.9,26,mężczyzna,11,1600,1,7,48,0
429.69,57,kobieta,11,1730.13,0,197,48,239
300,41,kobieta,12,1450,0,2,48,0
281.84,47,kobieta,12,1032,0,42,10,4
600,74,kobieta,13,1936,0,504,48,8
400,64,kobieta,13,1547,0,37,48,0
500,25,mężczyzna,11,2327.94,0,39,48,4
348.26,39,kobieta,11,2927,7,205,48,0
300,61,mężczyzna,16,1865,0,336,48,0
500,63,kobieta,13,1879,0,40,48,1
600,24,kobieta,98,5000,0,5,48,4
700,69,kobieta,16,980,2,135,48,7
500,54,mężczyzna,11,1200,0,217,48,0
300,32,mężczyzna,11,2725,1,57,48,0
481.74,48,mężczyzna,13,1500,3,90,48,0
300,60,kobieta,99,900,0,84,10,0
300,71,kobieta,13,1257,0,132,48,3
300,67,mężczyzna,13,2110,2,105,48,0
584.54,63,mężczyzna,13,2474,1,19,48,0
780,48,kobieta,12,830.46,7,49,22,13
292.28,67,kobieta,13,1428.55,2,141,48,6
200,42,kobieta,11,1000,0,65,48,3
500,53,mężczyzna,11,2011,2,215,48,4
300,31,mężczyzna,12,2100,0,4,10,0
200,46,mężczyzna,11,2100,4,54,48,0
303.13,41,mężczyzna,11,1261.98,1,40,48,24
800,62,kobieta,13,5100,4,32,48,0
297.03,60,kobieta,13,1300,2,34,48,0
500,47,mężczyzna,13,2692.96,0,2,48,11
300,57,mężczyzna,11,1170,1,71,48,0
700,65,kobieta,13,1507,0,63,48,5157
310.37,55,kobieta,11,1721.7,9,124,48,13
200,69,mężczyzna,13,1162.41,3,108,48,0
300,30,mężczyzna,11,1590,3,57,48,2
478.16,50,mężczyzna,11,2500,3,378,48,2
400,59,kobieta,13,1514,0,50,48,0
400,79,kobieta,13,1239.98,0,259,48,0
600,54,kobieta,16,1362,1,33,48,0
600,81,mężczyzna,13,2547,3,199,48,0
300,46,kobieta,12,1294,0,5,10,0
292.26,38,kobieta,12,2000,1,93,48,3
292.73,49,kobieta,11,1077.49,3,376,48,0
400,22,mężczyzna,12,1500,0,10,1,0
400,63,kobieta,13,1650,1,86,48,0
400,61,kobieta,13,1425,1,83,48,0
600,33,kobieta,11,1331.21,8,23,48,1
300,54,mężczyzna,11,981,1,24,48,170
300,55,kobieta,17,864.6,0,6,1,0
200,27,kobieta,12,1100,5,19,10,4
400.91,40,kobieta,11,1239.05,1,208,48,5
300,68,kobieta,13,783,0,157,48,0
400,76,kobieta,13,1900,5,125,48,0
450,47,mężczyzna,11,2300,1,124,48,0
389.72,53,kobieta,98,3000,5,89,48,0
200,54,kobieta,99,1100,6,56,1,0
200,62,kobieta,13,984,4,15,48,0
290.83,62,kobieta,13,1090.14,8,79,48,21
500,57,mężczyzna,13,1900,9,154,48,0
476.83,62,mężczyzna,11,1250,0,69,48,16
326.67,64,kobieta,13,1668,9,95,48,2
300,30,mężczyzna,11,1900,0,62,48,0
299.42,78,kobieta,13,1239,1,274,48,2
500,76,mężczyzna,13,1150,1,142,48,8
200,71,kobieta,13,865,9,132,48,3
300,66,kobieta,13,1400,2,122,48,164
200,65,kobieta,13,796.09,0,60,48,0
300,54,kobieta,16,1740,2,118,48,11
397.11,52,mężczyzna,13,4200,1,61,48,0
300,64,mężczyzna,11,1660,0,54,48,3
300,40,kobieta,12,1323.55,0,54,21,7
384.3,36,mężczyzna,11,1058,4,18,48,0
200,27,mężczyzna,12,1100,0,37,22,2
300,55,kobieta,11,1686,0,102,48,0
299.01,53,kobieta,11,1400,5,165,48,2
200,28,mężczyzna,17,728,9,104,26,5152
200,21,mężczyzna,17,985,0,17,3,0
500,37,mężczyzna,12,2000,1,37,34,0
200,57,mężczyzna,12,1600,0,39,21,0
200,66,mężczyzna,13,1611,1,145,48,3
